index,n_stages,concept,s1,s2,s3,s4,s5,s6,w1,w2,w3,w4,w5,w6,E1,E2,E3,E4,E5,E6,R1,R2,R3,R4,R5,R6,Total_excess
2419,5,1,3,-1,-1,1,-1,-1,11.2751,11.2751,11.2751,16.2848,16.2848,16.2848,0.781347,0.803034,0.810859,0.299037,0.317516,0.296785,1.0,1.0,0.45943947892,0.9999926539699999,0.9901186046699999,0.9410947389450001,3.3085779021
2420,5,1,2,0,4,-1,-1,-1,4.32456,9.33853,13.8584,13.8584,13.8584,13.8584,0.346147,0.191004,0.823522,0.822706,0.784818,0.692598,1.0,1.0,0.3811,0.40763456978,0.9999999426899999,0.9145,3.6607960894
2421,6,1,1,4,-1,2,3,0,6.12595,10.7133,10.7133,13.8584,23.231,26.7355,0.386372,0.826035,0.826035,0.51335,0.987636,0.955505,1.0,0.6046,0.6046,1.0,1.0,1.0,4.4949342223
2422,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.390219,0.981177,0.974542,0.99105,0.983902,0.959558,0.1447966413,0.99999830506,1.0,1.0,0.83291353116,0.9016000000000001,5.2804485031
2423,6,1,1,4,-1,-1,2,0,6.12595,10.7133,10.7133,10.7133,13.8584,18.4791,0.388309,0.880096,0.835805,0.845426,0.491551,0.886589,0.99591116089,0.8499782282,1.0,0.6242,0.536,0.9999999985920001,4.327776816
2424,5,1,2,3,1,0,-1,-1,4.32456,14.8134,18.7111,22.5415,22.5415,22.5415,0.368302,0.334904,0.839711,0.975926,0.970311,0.932005,0.011,1.0,0.65873712821,0.94456380177,1.0,1.0,4.4211598181
2425,6,1,0,-1,1,2,3,4,6.12595,6.12595,11.4656,14.285,22.5415,26.7355,0.117839,0.12313,0.856677,0.889376,0.99555,0.928447,0.99934288396,0.44958699941,0.99999931897,0.9999989196000001,1.0,1.0,3.9110190546
2426,3,2,3,-1,2,-1,-1,-1,5.75369,5.75369,10.6473,10.6473,10.6473,10.6473,0.987636,0.985572,0.633304,0.613518,0.600925,0.616577,1.0,1.0,1.0,0.9999893286399999,0.99981068094,0.999999999017,4.4375322146
2427,6,1,3,2,4,1,-1,-1,11.2751,14.8134,19.7265,23.231,23.231,23.231,0.810859,0.366071,0.944778,0.993382,0.986277,0.997804,0.45943947892000003,0.8868,0.8371,1.0,1.0,1.0,5.0991717055
2428,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.997804,0.944186,0.99555,0.997289,0.982786,0.917568,1.0,1.0,1.0,1.0,1.0,1.0,5.835183194
2429,2,1,4,1,-1,-1,-1,-1,5.69944,10.7133,10.7133,10.7133,10.7133,10.7133,0.562202,0.878465,0.883431,0.7789,0.881714,0.762769,0.7047,0.8313137497799999,0.35419999999999996,1.0,0.745,0.9844,4.747480464
2430,5,1,4,0,2,-1,1,-1,5.69944,10.7133,13.8584,13.8584,18.4791,18.4791,0.654811,0.217572,0.775085,0.770887,0.696405,0.731004,1.0,0.8371256687099999,0.3658,0.357990539086,1.0,1.0,3.8457644012
2431,6,1,4,-1,2,-1,1,0,5.69944,5.69944,9.23771,9.23771,13.8584,18.4791,0.659107,0.657206,0.469842,0.470357,0.584681,0.800728,0.014083936393800001,0.1527,0.39768678413799996,0.4259,1.0,0.9374,3.6419209362
2432,6,1,2,-1,-1,1,-1,3,4.32456,4.32456,4.32456,9.33853,9.33853,18.7111,0.332522,0.361181,0.328056,0.530855,0.54305,0.859942,0.9998,1.0,0.326,0.6389654634699999,1.0,1.0,2.9556063884
