index,n_stages,concept,s1,s2,s3,s4,s5,s6,w1,w2,w3,w4,w5,w6,E1,E2,E3,E4,E5,E6,R1,R2,R3,R4,R5,R6,Total_weight
7592,5,1,1,-1,-1,-1,0,-1,6.12595,6.12595,6.12595,6.12595,11.4656,11.4656,0.346811,0.395998,0.32926,0.32926,0.957762,0.938415,0.3377,0.1709,0.837,0.837,0.9065000000000001,0.999728387307,47.435002944
7593,-1,-1,-1,-1,-1,-1,-1,-1,4.32456,4.32456,14.8134,18.7111,23.231,26.7355,0.320834,0.366445,0.285703,0.0807581,0.884124,0.946701,0.329,0.2111,0.6797,0.3263,0.4709,0.999981345735,2.8845649707
7594,-1,-1,-1,-1,-1,-1,-1,-1,4.32456,4.32456,14.8134,18.7111,23.231,26.7355,0.320834,0.366445,0.285703,0.0807581,0.884124,0.946701,0.329,0.2111,0.6797,0.3263,0.4709,0.999981345735,2.8845649707
7595,-1,-1,-1,-1,-1,-1,-1,-1,4.32456,4.32456,14.8134,18.7111,23.231,26.7355,0.320834,0.366445,0.285703,0.0807581,0.884124,0.946701,0.329,0.2111,0.6797,0.3263,0.4709,0.999981345735,2.8845649707
7596,-1,-1,-1,-1,-1,-1,-1,-1,5.69944,10.7133,10.7133,10.7133,10.7133,10.7133,0.660034,0.853311,0.870147,0.855114,0.842486,0.896212,0.077596359516,0.7916227528399999,1.0,0.9998,1.0,0.951422443525,4.9773035231
7597,6,1,1,2,-1,-1,-1,0,6.12595,9.33853,9.33853,9.33853,9.33853,14.285,0.366848,0.556182,0.484966,0.557578,0.539698,0.918151,0.96683653818,0.1129,0.9937,0.7421,0.6653,1.0,57.765115107
7598,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.343242,0.972905,0.87328,0.987411,0.965831,0.991496,0.94745553593,0.83381555451,0.9871000000000001,1.0,0.84498136757,0.9045847334997,63.453992894
7599,6,1,2,-1,-1,-1,0,4,4.32456,4.32456,4.32456,4.32456,9.33853,13.8584,0.362301,0.3681,0.329026,0.362879,0.192754,0.798373,0.2516,1.0,0.9997,0.9695,0.98587498915,0.9939,40.495182929
7600,3,1,4,-1,1,-1,-1,-1,5.69944,5.69944,10.7133,10.7133,10.7133,10.7133,0.620528,0.548521,0.870631,0.895305,0.880053,0.883072,0.9995,0.9786,0.8339647460999999,0.91108607391,0.35559999999999997,1.0,54.252049512
7601,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.397706,0.972905,0.983218,0.912651,0.9734,0.986611,0.064838411757,0.83381555451,0.8454259366400001,1.0,1.0,1.0,63.453992894
7602,-1,-1,-1,-1,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.397706,0.972905,0.983218,0.912651,0.9734,0.986611,0.064838411757,0.83381555451,0.8454259366400001,1.0,1.0,1.0,5.2264909892
7603,6,1,4,-1,-1,-1,1,0,5.69944,5.69944,5.69944,5.69944,10.7133,15.6597,0.647072,0.58199,0.66072,0.66072,0.8832,0.962844,1.0,0.9934,0.9118582102699999,0.9118582102699999,1.0,0.998737535323,49.170747118
7604,-1,-1,-1,-1,-1,-1,-1,-1,4.32456,4.32456,9.33853,9.33853,9.33853,14.285,0.360072,0.303742,0.538663,0.538663,0.5286,0.944024,1.0,0.8213,0.68016040931,0.68016040931,1.0,0.996295185064,3.2137638794
7605,6,1,1,0,-1,-1,-1,4,6.12595,11.4656,11.4656,11.4656,11.4656,15.6597,0.397706,0.972905,0.94371,0.9921,0.987411,0.992881,0.064838411757,0.83381555451,0.9279,1.0,1.0,1.0,67.64808054
7606,-1,-1,-1,-1,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,15.6597,0.397706,0.972905,0.94371,0.9921,0.987411,0.992881,0.064838411757,0.83381555451,0.9279,1.0,1.0,1.0,67.64808054
7607,5,1,4,-1,-1,-1,1,-1,5.69944,5.69944,5.69944,5.69944,10.7133,10.7133,0.6332,0.643011,0.6259,0.647465,0.880053,0.8903,0.99998220998,0.1946,1.0,0.8383325323599999,0.35559999999999997,1.0,44.224342806
7608,2,1,4,1,-1,-1,-1,-1,5.69944,10.7133,10.7133,10.7133,10.7133,10.7133,0.6561,0.853311,0.853311,0.8436,0.891111,0.891111,1.0,0.7916227528399999,0.7916227528399999,1.0,1.0,1.0,59.265902865
7609,-1,-1,-1,-1,-1,-1,-1,-1,11.2751,11.2751,11.2751,11.2751,11.2751,11.2751,0.8001,0.782472,0.782472,0.7582,0.797011,0.797011,1.0,0.47420564953,0.47420564953,1.0,1.0,1.0,4.7172663939
7610,-1,-1,-1,-1,-1,-1,-1,-1,11.2751,11.2751,11.2751,11.2751,11.2751,11.2751,0.8001,0.782472,0.782472,0.7582,0.797011,0.797011,1.0,0.47420564953,0.47420564953,1.0,1.0,1.0,4.7172663939
7611,-1,-1,-1,-1,-1,-1,-1,-1,6.12595,16.2848,18.7111,18.7111,18.7111,23.231,0.393952,0.220861,0.807546,0.8809,0.889399,0.985202,0.0208,0.9689,0.6983999999999999,1.0,0.94300002636,0.999881397894,4.1778598982
7612,-1,-1,-1,-1,-1,-1,-1,-1,11.2751,16.9745,19.7265,19.7265,19.7265,19.7265,0.8001,0.6775,0.979805,0.992781,0.978442,0.985576,1.0,1.0,0.9997527880699999,1.0,1.0,0.9997,5.4142043706
7613,2,1,4,1,-1,-1,-1,-1,5.69944,10.7133,10.7133,10.7133,10.7133,10.7133,0.6398,0.895305,0.8832,0.875242,0.775,0.890111,1.0,0.91108607391,1.0,1.0,1.0,1.0,59.265902865
7614,3,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.387164,0.387164,0.957762,0.951305,0.9779,0.954914,0.17811377096,0.178113770962,0.9065000000000001,1.0,0.9999985335699999,1.0,58.114329577
7615,-1,-1,-1,-1,-1,-1,-1,-1,4.32456,9.33853,18.7111,18.7111,18.7111,18.7111,0.358204,0.518856,0.865526,0.835305,0.863594,0.842714,0.21814761299000002,0.62233372813,0.35359999999999997,1.0,0.82841047705,1.0,4.284198772
7616,-1,-1,-1,-1,-1,-1,-1,-1,4.32456,9.33853,18.7111,18.7111,18.7111,18.7111,0.358204,0.518856,0.865526,0.835305,0.863594,0.842714,0.21814761299000002,0.62233372813,0.35359999999999997,1.0,0.82841047705,1.0,4.284198772
7617,-1,-1,-1,-1,-1,-1,-1,-1,4.32456,9.33853,18.7111,18.7111,18.7111,18.7111,0.358204,0.518856,0.865526,0.835305,0.863594,0.842714,0.21814761299000002,0.62233372813,0.35359999999999997,1.0,0.82841047705,1.0,4.284198772
7618,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.368119,0.913123,0.972142,0.987933,0.965831,0.87328,0.3164,0.9881,1.0,0.8101,0.84498136757,0.9871,63.453992894
7619,-1,-1,-1,-1,-1,-1,-1,-1,6.12595,10.7133,20.8722,24.7024,26.7355,26.7355,0.368119,0.833892,0.732581,0.992881,0.9654,0.8775,0.3164,0.6088,0.9749000000000001,1.0,1.0,1.0,4.7703726892
7620,6,1,4,-1,-1,-1,-1,1,5.69944,5.69944,5.69944,5.69944,5.69944,10.7133,0.660759,0.654686,0.58199,0.644642,0.610386,0.866,0.030005255744000002,0.1509,0.9934000000000001,1.0,1.0,0.9999943103360001,39.210489453
7621,4,1,4,-1,1,-1,-1,-1,5.69944,5.69944,10.7133,10.7133,10.7133,10.7133,0.610309,0.648288,0.880053,0.815451,0.817314,0.848106,0.9998264288400001,0.86584172888,0.35559999999999997,1.0,0.9958,0.999878422464,54.252049512
7622,6,1,4,-1,-1,-1,-1,1,5.69944,5.69944,5.69944,5.69944,5.69944,10.7133,0.660034,0.659154,0.564897,0.659154,0.649279,0.855114,0.077596359516,0.94917799315,0.709,0.94917799315,0.7839,0.9998,39.210489453
7623,2,1,4,1,-1,-1,-1,-1,5.69944,10.7133,10.7133,10.7133,10.7133,10.7133,0.6561,0.894608,0.875242,0.891111,0.8899,0.875242,1.0,0.8069,1.0,1.0,1.0,1.0,59.265902865
7624,3,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.389457,0.358613,0.987933,0.913123,0.965831,0.9594,0.23500000000000001,0.8852,0.8101,0.9881,0.84498136757,1.0,58.114329577
7625,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.367347,0.94371,0.986611,0.9901,0.988281,0.87328,1.0,0.9279,1.0,1.0,1.0,0.9871,63.453992894
7626,-1,-1,-1,-1,-1,-1,-1,-1,6.12595,10.7133,10.7133,15.6597,24.7024,26.7355,0.367347,0.867634,0.875365,0.915465,0.992881,0.877112,1.0,0.2753,0.6866,0.95767231607,1.0,0.9999,4.8958050515
7627,-1,-1,-1,-1,-1,-1,-1,-1,6.12595,10.7133,10.7133,15.6597,24.7024,26.7355,0.367347,0.867634,0.875365,0.915465,0.992881,0.877112,1.0,0.2753,0.6866,0.95767231607,1.0,0.9999,4.8958050515
7628,-1,-1,-1,-1,-1,-1,-1,-1,6.12595,10.7133,10.7133,15.6597,24.7024,26.7355,0.367347,0.867634,0.875365,0.915465,0.992881,0.877112,1.0,0.2753,0.6866,0.95767231607,1.0,0.9999,4.8958050515
7629,2,1,4,1,-1,-1,-1,-1,5.69944,10.7133,10.7133,10.7133,10.7133,10.7133,0.6259,0.870631,0.895081,0.8832,0.895305,0.775,1.0,0.8339647460999999,1.0,1.0,0.91108607391,1.0,59.265902865
7630,4,1,4,-1,-1,1,-1,-1,5.69944,5.69944,5.69944,10.7133,10.7133,10.7133,0.656,0.66072,0.659154,0.896212,0.886104,0.8436,1.0,0.91185821027,0.94917799315,0.95142244353,0.8701016859899999,1.0,49.238196159
7631,1,0,2,-1,-1,-1,-1,-1,5.48879,5.48879,5.48879,5.48879,5.48879,5.48879,0.514684,0.595863,0.587571,0.5867,0.588572,0.577642,0.633,0.1177,0.7143999999999999,0.99999972899,1.0,1.0,32.932734377
7632,-1,-1,-1,-1,-1,-1,-1,-1,5.48879,5.48879,5.48879,5.48879,5.48879,5.48879,0.514684,0.595863,0.587571,0.5867,0.588572,0.577642,0.633,0.1177,0.7143999999999999,0.99999972899,1.0,1.0,3.4510321903
7633,-1,-1,-1,-1,-1,-1,-1,-1,6.12595,6.12595,11.4656,14.285,14.285,18.4791,0.3785,0.390034,0.983218,0.964955,0.944461,0.8299,1.0,0.99609405067,0.8454259366400001,0.355866444361,0.6396,1.0,4.4910678947
7634,4,1,4,-1,-1,1,-1,-1,5.69944,5.69944,5.69944,10.7133,10.7133,10.7133,0.647072,0.662481,0.66072,0.885567,0.8882,0.8831,1.0,1.0,0.9118582102699999,0.7472,1.0,1.0,49.238196159
7635,-1,-1,-1,-1,-1,-1,-1,-1,11.2751,16.2848,16.2848,20.5083,20.5083,20.5083,0.792272,0.562481,0.568696,0.823567,0.8262,0.8173,1.0,1.0,0.80298475441,0.5933999999999999,1.0,1.0,4.3905155615
7636,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.342309,0.965831,0.937286,0.913123,0.9901,0.986711,0.996,0.84498136757,1.0,0.9881,1.0,1.0,63.453992894
7637,1,1,2,-1,-1,-1,-1,-1,4.32456,4.32456,4.32456,4.32456,4.32456,4.32456,0.362879,0.358939,0.321168,0.335481,0.3503,0.3419,0.9695,0.2823,0.9393015496199999,0.96397998077,0.99999999507,0.999990132054,25.947343784
7638,2,1,4,1,-1,-1,-1,-1,5.69944,10.7133,10.7133,10.7133,10.7133,10.7133,0.624714,0.894974,0.8899,0.870147,0.870631,0.8882,1.0,0.1654,1.0,1.0,0.8339647460999999,1.0,59.265902865
7639,-1,-1,-1,-1,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.362818,0.971055,0.9903,0.968647,0.964503,0.9921,0.9999,0.8734999999999999,1.0,1.0,0.9999191508,1.0,5.249422996
7640,-1,-1,-1,-1,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.362818,0.971055,0.9903,0.968647,0.964503,0.9921,0.9999,0.8734999999999999,1.0,1.0,0.9999191508,1.0,5.249422996
7641,3,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.387164,0.366848,0.986611,0.971055,0.9873,0.8724,0.17811377096,0.9668365381799999,1.0,0.8734999999999999,1.0,1.0,58.114329577
7642,4,1,1,0,4,-1,-1,-1,6.12595,11.4656,15.6597,15.6597,15.6597,15.6597,0.386672,0.9779,0.9662,0.859375,0.9965,0.973847,1.0,0.99999853357,1.0,1.0,1.0,1.0,80.230343479
7643,-1,-1,-1,-1,-1,-1,-1,-1,6.12595,11.4656,15.6597,15.6597,15.6597,15.6597,0.386672,0.9779,0.9662,0.859375,0.9965,0.973847,1.0,0.99999853357,1.0,1.0,1.0,1.0,80.230343479
7644,3,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.402334,0.32926,0.972142,0.983218,0.972905,0.973542,0.027432682867999998,0.837,1.0,0.8454259366400001,0.8338155545099999,1.0,58.114329577
7645,5,1,4,-1,-1,1,-1,-1,5.69944,5.69944,5.69944,10.7133,10.7133,10.7133,0.610309,0.6332,0.624714,0.880053,0.8672,0.8831,0.9998264288400001,0.99998220998,1.0,0.35559999999999997,1.0,1.0,49.238196159
