index,n_stages,concept,s1,s2,s3,s4,s5,s6,w1,w2,w3,w4,w5,w6,R1,R2,R3,R4,R5,R6,Total_weight
1679,4,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.81,0.9644447779399999,0.9990891531399999,1.0,0.90359494358,1.0,58.114329577
1680,5,1,1,-1,-1,-1,0,-1,6.12595,6.12595,6.12595,6.12595,11.4656,11.4656,0.8842,0.9644447779399999,0.77162379445,0.3268,0.99987993332,1.0,47.435002944
1681,1,1,3,-1,-1,-1,-1,-1,16.9745,16.9745,16.9745,16.9745,16.9745,16.9745,0.99954384764,0.33583035241000003,0.9149,0.99954384764,0.8008000000000001,0.966593904995,101.8472058
1682,5,1,1,-1,-1,-1,0,-1,6.12595,6.12595,6.12595,6.12595,11.4656,11.4656,0.0366,0.9299999999999999,0.7399,0.3515,0.9964413683900001,0.998,47.435002944
1683,2,1,3,2,-1,-1,-1,-1,16.9745,19.7265,19.7265,19.7265,19.7265,19.7265,0.30878119737,1.0,1.0,1.0,1.0,0.99981948576,115.60716006
1684,4,1,1,-1,-1,0,-1,-1,6.12595,6.12595,6.12595,11.4656,11.4656,11.4656,0.2919,0.8842,0.89602621967,0.9998799333199999,0.998,0.9390000000000001,52.77466626
1685,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.32680000000000003,0.7898,0.9072,1.0,1.0,0.99999999424,63.453992894
1686,1,1,3,-1,-1,-1,-1,-1,16.9745,16.9745,16.9745,16.9745,16.9745,16.9745,0.27210671771,0.80089636453,0.94429861883,0.96228131439,0.9802000000000001,0.9545,101.8472058
1687,5,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.29604471076,0.7399,0.99999760931,0.8425,0.99987993332,0.9025,58.114329577
1688,1,1,3,-1,-1,-1,-1,-1,16.9745,16.9745,16.9745,16.9745,16.9745,16.9745,0.8008,0.9511999999999999,0.9415,0.99557611305,0.99557611305,0.999999214934,101.8472058
1689,3,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.81,0.9761,1.0,0.99999999995,0.99999999999,1.0,58.114329577
1690,3,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.0366,0.89602621967,0.9726999999999999,0.9035949435799999,0.9999998022400001,1.0,58.114329577
1691,1,1,3,-1,-1,-1,-1,-1,16.9745,16.9745,16.9745,16.9745,16.9745,16.9745,0.9865,0.99913920134,0.99992532857,0.9665939050000001,0.99913920134,0.9442986188270001,101.8472058
1692,5,1,1,-1,0,-1,2,-1,6.12595,6.12595,11.4656,11.4656,14.285,14.285,0.99811018353,0.36939999999999995,0.9998799333199999,1.0,0.9890000000000001,1.0,63.753196375
1693,3,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.0159,0.7399,0.7121,0.9966318565000001,0.99999760931,0.9999999999920001,58.114329577
1694,1,1,3,-1,-1,-1,-1,-1,16.9745,16.9745,16.9745,16.9745,16.9745,16.9745,0.96228131439,0.3517,0.8395999999999999,0.8863000000000001,0.99557611305,0.999139201336,101.8472058
1695,5,1,1,-1,-1,-1,0,-1,6.12595,6.12595,6.12595,6.12595,11.4656,11.4656,0.0934,0.80308948589,0.6183000000000001,0.80308948589,0.8425,1.0,47.435002944
1696,4,1,1,-1,-1,0,-1,-1,6.12595,6.12595,6.12595,11.4656,11.4656,11.4656,0.6368,0.7399,0.6368,0.9999960749700001,1.0,0.999999999953,52.77466626
1697,3,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.29604471076,0.3268,0.9998799333199999,0.99999999995,0.99999995859,1.0,58.114329577
1698,5,1,1,-1,-1,-1,0,-1,6.12595,6.12595,6.12595,6.12595,11.4656,11.4656,0.77162379445,0.99987154662,0.3832,0.9802752403699999,0.98256185581,0.999999999953,47.435002944
1699,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.32680000000000003,0.99644136839,0.7121,0.9390000000000001,0.998,1.0,63.453992894
1700,6,1,1,-1,-1,-1,-1,0,6.12595,6.12595,6.12595,6.12595,6.12595,11.4656,0.8442000000000001,0.22828330625,0.8442000000000001,0.8419436288,0.9918872576600001,0.998,42.095339627
1701,1,1,3,-1,-1,-1,-1,-1,16.9745,16.9745,16.9745,16.9745,16.9745,16.9745,0.90861217931,0.99999999999,0.8506585689599999,0.8395999999999999,0.99954384764,0.9802,101.8472058
1702,4,1,1,-1,-1,0,-1,-1,6.12595,6.12595,6.12595,11.4656,11.4656,11.4656,0.77162379445,0.74452517744,0.6368,0.7121,1.0,1.0,52.77466626
1703,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.0505,0.99644136839,1.0,0.9999960749700001,1.0,0.999996074974,63.453992894
1704,2,1,0,1,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.20411543188,0.59082901834,0.9971000000000001,0.57638723487,0.9861481860100001,0.999976828942,63.453992894
1705,3,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.1671,0.29604471076,1.0,0.9390000000000001,1.0,1.0,58.114329577
1706,2,1,0,1,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.022265775595000002,0.96418210645,1.0,1.0,0.96418210645,1.0,63.453992894
1707,1,1,3,-1,-1,-1,-1,-1,16.9745,16.9745,16.9745,16.9745,16.9745,16.9745,0.3987,0.8008,0.8506585689599999,0.3812,0.99557611305,0.990414981842,101.8472058
1708,4,1,1,-1,-1,0,-1,-1,6.12595,6.12595,6.12595,11.4656,11.4656,11.4656,0.32680000000000003,0.29604471076,0.3832,0.9999960749700001,1.0,0.999089153144,52.77466626
1709,3,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.80308948589,0.20233089569,0.9999999585899999,0.9966318565000001,1.0,0.999967543718,58.114329577
1710,3,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.3832,0.9299999999999999,0.8425,0.9966318565000001,1.0,0.999999999463,58.114329577
1711,1,1,3,-1,-1,-1,-1,-1,16.9745,16.9745,16.9745,16.9745,16.9745,16.9745,0.16968316173,0.3517,0.9512,0.9864999999999999,0.9415,0.999549769879,101.8472058
1712,1,0,2,-1,-1,-1,-1,-1,5.48879,5.48879,5.48879,5.48879,5.48879,5.48879,0.98783586076,0.99999972934,1.0,0.3325,0.9539653155100001,0.998980823787,32.932734377
1713,4,1,1,-1,-1,0,-1,-1,6.12595,6.12595,6.12595,11.4656,11.4656,11.4656,0.99188725766,0.80308948589,0.99188725766,0.9595483439199999,0.99908915314,1.0,52.77466626
1714,5,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.6183,0.90359494358,0.9949999999999999,1.0,1.0,1.0,63.453992894
1715,3,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.98027524037,0.8442,0.99999999424,1.0,0.998,1.0,58.114329577
1716,2,1,3,2,-1,-1,-1,-1,16.9745,19.7265,19.7265,19.7265,19.7265,19.7265,0.85065856896,1.0,1.0,0.9999980264899999,1.0,0.998854226509,115.60716006
1717,6,1,3,-1,-1,-1,-1,2,16.9745,16.9745,16.9745,16.9745,16.9745,19.7265,0.3987,0.33583035241000003,0.9995,0.9999992149299999,0.99557611305,1.0,104.59919665
1718,3,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.8419436288,0.99987154662,0.9072,0.9726999999999999,0.9390000000000001,1.0,58.114329577
1719,4,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.3832,0.9727,1.0,0.99644136839,0.90359494358,0.998,63.453992894
1720,1,1,3,-1,-1,-1,-1,-1,16.9745,16.9745,16.9745,16.9745,16.9745,16.9745,0.90861217931,0.9545,1.0,0.99999995225,0.9545,0.999549769879,101.8472058
1721,1,1,3,-1,-1,-1,-1,-1,16.9745,16.9745,16.9745,16.9745,16.9745,16.9745,0.22426115498000002,0.6854,0.6131,0.8855,0.99992532857,0.9415,101.8472058
1722,4,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.29604471076,0.7898,0.99999999946,0.9035949435799999,0.9873000000000001,0.9964413683910001,63.453992894
1723,5,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.1329,0.99644136839,1.0,1.0,1.0,0.9072,63.453992894
1724,5,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.8442000000000001,0.995,0.99644136839,1.0,1.0,0.9999999999920001,63.453992894
1725,3,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.6611,0.7399,0.9999960749700001,0.9998799333199999,0.9999998022400001,1.0,58.114329577
1726,5,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.0366,0.99908915314,0.99999999424,0.7898000000000001,0.99999999995,1.0,63.453992894
1727,4,1,1,-1,-1,0,-1,-1,6.12595,6.12595,6.12595,11.4656,11.4656,11.4656,0.29604471076,0.36939999999999995,0.9299999999999999,0.9966318565000001,0.9966318565000001,1.0,52.77466626
1728,1,1,3,-1,-1,-1,-1,-1,16.9745,16.9745,16.9745,16.9745,16.9745,16.9745,0.90861217931,0.6547999999999999,0.41409999999999997,0.335830352415,0.99999525589,0.9622813143860001,101.8472058
1729,2,1,0,1,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.28650000000000003,0.57638723487,0.99999999985,0.9999996202799999,1.0,1.0,63.453992894
1730,5,1,1,-1,-1,-1,0,-1,6.12595,6.12595,6.12595,6.12595,11.4656,11.4656,0.0138,0.8442,0.6368,0.9998715466199999,0.998,0.999089153144,47.435002944
1731,4,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.32680000000000003,0.2919,0.7466999999999999,1.0,0.98256185581,0.9999999999920001,58.114329577
1732,2,1,0,1,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.12672750575,0.5729,0.9999656372800001,0.5619000000000001,0.99982600183,0.999999993838,63.453992894
1733,3,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.27706833066000003,0.7399,0.8425,0.9999999585899999,1.0,1.0,58.114329577
1734,1,1,3,-1,-1,-1,-1,-1,16.9745,16.9745,16.9745,16.9745,16.9745,16.9745,0.99992532857,0.9148999999999999,0.8008,0.9962882586699999,1.0,0.999549769879,101.8472058
1735,6,1,3,-1,-1,-1,-1,2,16.9745,16.9745,16.9745,16.9745,16.9745,19.7265,0.27210671771,0.27210671771,0.8855,0.9512,0.99954976988,0.9999945213270001,104.59919665
1736,2,1,0,1,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.0489,0.96418210645,0.5524,0.9999989439599999,0.9861481860100001,0.9999989406700001,63.453992894
1737,6,1,3,-1,2,-1,-1,-1,16.9745,16.9745,19.7265,19.7265,19.7265,19.7265,0.30878119737,0.9999952558899999,0.9999999531199999,1.0,1.0,1.0,112.85516921
1738,6,1,2,-1,-1,1,0,-1,4.32456,4.32456,4.32456,9.33853,14.285,14.285,0.99649380701,0.3342,0.8039000000000001,0.49752951880999996,0.9567000000000001,1.0,50.882288999
1739,1,1,3,-1,-1,-1,-1,-1,16.9745,16.9745,16.9745,16.9745,16.9745,16.9745,0.3517,0.9999952558899999,0.80089636453,0.99999999999,0.8008000000000001,0.9622813143860001,101.8472058
1740,4,1,0,1,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.3647,0.5505,0.5729,0.57638723487,0.9938,0.910254321447,63.453992894
1741,4,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.6936,0.99999999424,0.7466999999999999,1.0,0.9873000000000001,0.9727,63.453992894
1742,6,1,3,-1,-1,-1,-1,2,16.9745,16.9745,16.9745,16.9745,16.9745,19.7265,0.30878119737,0.99999999999,0.8395999999999999,0.8855,0.8863000000000001,0.998,104.59919665
1743,4,1,1,-1,-1,0,-1,-1,6.12595,6.12595,6.12595,11.4656,11.4656,11.4656,0.0122010865551,0.99188725766,0.6611,0.9320653381799999,0.9999960749700001,0.995,52.77466626
1744,3,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.0505,0.2919,0.99999999995,0.9726999999999999,1.0,1.0,58.114329577
1745,1,1,3,-1,-1,-1,-1,-1,16.9745,16.9745,16.9745,16.9745,16.9745,16.9745,0.22426115498000002,0.8396,0.9845039348,0.3517,0.99999999999,0.99999525589,101.8472058
1746,2,0,2,1,-1,-1,-1,-1,5.48879,11.2751,11.2751,11.2751,11.2751,11.2751,0.302,0.24358336865,0.6678905131199999,0.6109,0.8439000000000001,0.9999996491450001,61.864263809
1747,4,1,1,-1,0,2,-1,-1,6.12595,6.12595,11.4656,14.285,14.285,14.285,0.99811018353,0.8842,0.9990891531399999,1.0,0.9890000000000001,0.9999655201250001,66.572629774
1748,1,0,2,-1,-1,-1,-1,-1,5.48879,5.48879,5.48879,5.48879,5.48879,5.48879,0.1559,0.8672,0.3547,0.5795,0.97283784849,0.953965315513,32.932734377
1749,5,1,1,2,-1,-1,0,-1,6.12595,9.33853,9.33853,9.33853,14.285,14.285,0.6611,0.1678,0.9515,0.8500000000000001,1.0,0.9968238827770001,62.711626303
1750,5,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.32680000000000003,0.99987154662,0.99996754372,0.9990891531399999,1.0,0.9966318565050001,58.114329577
1751,1,0,2,-1,-1,-1,-1,-1,5.48879,5.48879,5.48879,5.48879,5.48879,5.48879,0.9155,0.95396531551,0.69696397392,0.5722,0.9997980508600001,0.999798050859,32.932734377
1752,1,1,3,-1,-1,-1,-1,-1,16.9745,16.9745,16.9745,16.9745,16.9745,16.9745,0.16968316173,0.9962882586699999,0.3087811973673,0.99999995225,0.9665939050000001,0.9995438476380001,101.8472058
1753,6,1,0,1,2,-1,-1,3,6.12595,11.4656,14.285,14.285,14.285,26.7355,0.3456,0.58303719141,0.5221,1.0,0.9541000000000001,1.0,87.182223702
1754,4,1,1,-1,-1,0,-1,-1,6.12595,6.12595,6.12595,11.4656,11.4656,11.4656,0.3832,0.36939999999999995,0.9998715466199999,0.8425,0.9964413683900001,1.0,52.77466626
