index,concept,i1,i2,i3,i4,i5,ax_pos,st_height,st_width,st_thick,laser_power,scanning_speed,power_density,n_layers,n_deposits,layer_thick,layer_width,layer_length,base_S_ip,base_N_ip,base_n_f_ip,base_U_ip,base_S_th,base_N_th,base_n_f_th,base_U_th,S_ip,N_ip,n_f_ip,U_ip,S_th,N_th,n_f_th,U_th,weight,temp,h_flux,h_area,S_residual,U_res,max_T_pool,build_time,max_res_U,max_res_S,resiliance_ip_uni,resiliance_ip_gau,R_volume_ip_uni,R_volume_ip_gau,capability_ip_uni,capability_ip_gau,buffer_ip_uni,buffer_ip_gau,excess_ip_uni,excess_ip_gau,resiliance_th_uni,resiliance_th_gau,R_volume_th_uni,R_volume_th_gau,capability_th_uni,capability_th_gau,buffery_th_uni,buffer_th_gau,excess_th_uni,excess_th_gau
107,1,1,2,3,4,-1,65.0,10.0,110.0,20.0,3806.055,5.0,6.0,2,1,5.0,7.57,24.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.656434347,100562.758898,3.63571906898,0.326202001837,351.133599292,142807.946226,4.34705180624,3.29831194947,23.231032567224297,1087.32519531,0.573418997885,72863.80685105,116.793144226,0.168241292238,2144.57,2185.91420553,0.16824129223823547,116.79314422607422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.03515625,0.01084307124143118,1.0,1.0,0.03515625,0.01084307124143118,0.96484375,0.9891569287585689
108,1,1,2,3,4,0,65.0,10.0,110.0,20.0,3806.055,5.0,6.0,2,1,5.0,7.57,24.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.366461638,127412.039375,3.57637635004,0.308704508501,319.874285891,127140.212617,4.26517324818,3.25685068948,26.7355399798305,1026.66772461,0.5359447198030001,77957.00873815,123.347358704,0.169132396579,2144.57,109919.388856,0.16913239657878876,123.34735870361328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9979,0.9999917440243542,0.03515625,0.01084307124143118,0.941,0.9438,0.035082421875,0.010842981721299084,0.905917578125,0.9329570182787009
109,1,1,2,4,-1,-1,65.0,10.0,110.0,20.0,3806.055,5.0,6.0,2,1,5.0,7.57,24.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.107773712,40647.4021778,3.05349219274,0.389864104228,318.009364228,33067.2732651,2.90303511713,3.45748481276,13.858422170310899,1118.62365723,0.573418997885,72863.80685105,98.8555488586,0.169130042195,2144.57,2185.91420553,0.16913004219532013,98.85554885864258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3112,0.1676536148024031,0.03515625,0.01084307124143118,0.5401,0.5419,0.010940624999999999,0.0018178800891859178,0.529159375,0.5400821199108141
110,1,1,2,4,0,-1,65.0,10.0,110.0,20.0,3806.055,5.0,6.0,2,1,5.0,7.57,24.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.759192116,51184.2641534,3.25026563613,0.366554104184,311.114750634,42004.9340753,3.06131358213,3.41715885603,18.479130442063198,1057.70214844,0.5359447198030001,77957.00873815,108.661363602,0.169040083885,2144.57,109919.388856,0.16904008388519287,108.66136360168457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7597,0.906109922449258,0.03515625,0.01084307124143118,0.8825,0.8845,0.026708203125000003,0.009825014441684987,0.855791796875,0.8746749855583149
111,1,1,2,4,0,3,65.0,10.0,110.0,20.0,3806.055,5.0,6.0,2,1,5.0,7.57,24.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.003947333,139499.390125,3.95703973879,0.30786068524,321.209020443,132744.164958,4.31953970348,3.25623944489,26.7355399798305,925.762451172,0.2974523477815,140464.55030950002,109.57989502,0.169682994485,2144.57,12641.2256939,0.16968299448490143,109.57989501953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.03515625,0.01084307124143118,0.9999,1.0,0.03515625,0.01084307124143118,0.96474375,0.9891569287585689
112,1,1,2,4,3,-1,65.0,10.0,110.0,20.0,3806.055,5.0,6.0,2,1,5.0,7.57,24.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.306942213,76302.7162468,3.34432758496,0.325930892593,354.210792842,144753.770374,4.3734482615,3.29847295242,23.231032567224297,939.716308594,0.2974523477815,140464.55030950002,107.679092407,0.168808713555,2144.57,12641.2256939,0.168808713555336,107.67909240722656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.03515625,0.01084307124143118,1.0,1.0,0.03515625,0.01084307124143118,0.96484375,0.9891569287585689
113,1,1,2,4,3,0,65.0,10.0,110.0,20.0,3806.055,5.0,6.0,2,1,5.0,7.57,24.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.52748781,137010.792618,3.95072448855,0.308529675922,320.705807086,131046.233874,4.30356551382,3.25673546289,26.7355399798305,1026.66772461,0.5359447198030001,77957.00873815,115.880491257,0.16952072084,2144.57,109919.388856,0.16952072083950043,115.88049125671387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.03515625,0.01084307124143118,1.0,1.0,0.03515625,0.01084307124143118,0.96484375,0.9891569287585689
114,1,1,3,-1,-1,-1,65.0,10.0,110.0,20.0,3806.055,5.0,6.0,2,1,5.0,7.57,24.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.817326887,61732.7821343,3.34680507108,0.416601475306,279.475674428,14975.0638763,2.30255748916,3.46406446005,16.2848401429077,963.645629883,0.2974523477815,140464.55030950002,73.5415935516,0.166720494628,2144.57,12641.2256939,0.16672049462795258,73.54159355163574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0381,0.0007697591713458658,0.03515625,0.01084307124143118,0.2594,0.2624,0.0013394531250000001,8.346553533648254e-06,0.258060546875,0.26239165344646637
115,1,1,3,0,-1,-1,65.0,10.0,110.0,20.0,3806.055,5.0,6.0,2,1,5.0,7.57,24.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.101577107,85444.2015223,3.52026910141,0.370933077184,298.273719249,86224.3168427,3.78217207442,3.40489591771,20.508302599784997,1057.30847168,0.5359447198030001,77957.00873815,94.6890201569,0.168475225568,2144.57,109919.388856,0.1684752255678177,94.68902015686035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.968,0.99956104549831,0.03515625,0.01084307124143118,0.9069,0.9102,0.03403125,0.010838311626497609,0.8728687500000001,0.8993616883735024
116,1,1,3,0,2,-1,65.0,10.0,110.0,20.0,3806.055,5.0,6.0,2,1,5.0,7.57,24.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.809625986,84247.3226554,3.44949033303,0.364753288745,263.583218606,252573.692873,4.11673228939,3.39158176191,22.5414523328085,1107.0723877,0.759037790587,55044.22535105,105.376279831,0.169330775738,2144.57,78596.2460705,0.16933077573776245,105.37627983093262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.03515625,0.01084307124143118,0.9976,0.9971,0.03515625,0.01084307124143118,0.96244375,0.9862569287585689
