index,n_stages,concept,s1,s2,s3,s4,s5,s6,w1,w2,w3,w4,w5,w6,R1,R2,R3,R4,R5,R6,Total_weight
868,3,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.5945153545,0.46072935833999995,0.9999653050299999,0.99614197531,1.0,1.0,58.114329577
869,1,1,3,-1,-1,-1,-1,-1,16.9745,16.9745,16.9745,16.9745,16.9745,16.9745,0.8379629629600001,0.76774691358,0.9997517299400001,0.99235251148,0.99997516779,0.9907313559530699,101.8472058
870,6,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.20601851852,0.99958084921,1.0,1.0,1.0,0.9989680429584,63.453992894
871,2,1,3,2,-1,-1,-1,-1,16.9745,19.7265,19.7265,19.7265,19.7265,19.7265,0.90639831183,1.0,1.0,1.0,1.0,1.0,115.60716006
872,3,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.47299382716,0.55306875177,0.94367283951,1.0,0.9999999077399999,1.0,58.114329577
873,5,1,1,-1,-1,-1,0,-1,6.12595,6.12595,6.12595,6.12595,11.4656,11.4656,0.18981481481,0.114146782155,0.66687761535,0.6350308642,1.0,1.0,47.435002944
874,3,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.21913580247,0.99972540278,1.0,1.0,1.0,1.0,63.453992894
875,6,1,2,-1,-1,-1,1,0,4.32456,4.32456,4.32456,4.32456,9.33853,14.285,0.89903135843,0.21249690963,0.45987654321,0.317901234568,0.386574074074,1.0,40.921803529
876,4,1,1,-1,-1,0,-1,-1,6.12595,6.12595,6.12595,11.4656,11.4656,11.4656,0.37721189782000003,0.7611352270999999,0.46206105427,0.99987792157,1.0,1.0,52.77466626
877,2,1,0,1,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.11342592592999999,0.99979032278,0.79783950617,0.8464506172799999,0.9817278869699999,0.9999992517785999,63.453992894
878,5,1,3,-1,2,-1,-1,-1,16.9745,16.9745,19.7265,19.7265,19.7265,19.7265,0.98607546036,0.8495370370399999,1.0,1.0,1.0,1.0,112.85516921
879,4,1,1,-1,-1,0,-1,-1,6.12595,6.12595,6.12595,11.4656,11.4656,11.4656,0.70524691358,0.35648148148000003,0.34799382716,0.9976851851899999,0.99999994398,1.0,52.77466626
880,3,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.021621034548,0.59336419753,0.98765432099,1.0,0.99999960256,1.0,58.114329577
881,6,1,2,1,-1,-1,-1,0,4.32456,9.33853,9.33853,9.33853,9.33853,14.285,0.60366182123,0.51906903746,0.99412582462,0.9992123236399999,0.6049382716,1.0,55.963726353
882,3,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.0325523754,0.142179061882,0.99382716049,1.0,1.0,0.9998062804332,58.114329577
883,4,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.02036091373,1.0,1.0,1.0,1.0,1.0,63.453992894
884,3,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.12217723323999999,0.50617283951,0.9999804302399999,0.98765432099,1.0,1.0,58.114329577
885,3,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.41589506173,0.64482571577,1.0,1.0,1.0,1.0,58.114329577
886,3,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.3397323308,1.0,1.0,1.0,1.0,1.0,63.453992894
887,6,1,2,-1,-1,1,-1,0,4.32456,4.32456,4.32456,9.33853,9.33853,14.285,0.40145791238,0.27657576399,0.8698792043799999,0.45700287017999996,0.6115526060600001,1.0,45.935777804
888,5,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.38321303003,0.66687761535,1.0,1.0,1.0,0.9976851851852,58.114329577
889,6,1,1,2,-1,-1,-1,0,6.12595,9.33853,9.33853,9.33853,9.33853,14.285,0.21120675019000001,0.4105599081,0.82175925926,0.7962962963,0.43780303613,1.0,57.765115107
890,1,1,3,-1,-1,-1,-1,-1,16.9745,16.9745,16.9745,16.9745,16.9745,16.9745,0.9513888888900001,0.99691358025,0.97991473648,0.89814814815,0.73765432099,0.9969135802469,101.8472058
891,4,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.24614197531,1.0,0.9945987654299999,1.0,1.0,1.0,63.453992894
892,5,1,2,-1,1,-1,0,-1,4.32456,4.32456,9.33853,9.33853,14.285,14.285,0.47530864198,0.53432709798,0.41197994718,0.9351851851899999,1.0,1.0,55.896263274
