index,concept,i1,i2,i3,i4,req_index_1,req_index_2,req_index_3,req_index_4,req_index_5,req_index_6,req_index_7,req_index_8
21,1,0,1,3,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,1,0,2,-1,-1,1.0,1.0,0.61,0.55,0.9999999999999342,0.9994954229645325,0.7449494487715903,0.6159679394229044
23,1,0,2,1,-1,1.0,1.0,1.0,0.83,1.0,0.9999996945192938,0.9999961695960655,0.977880789900502
24,1,0,2,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,1,0,2,3,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,1,0,2,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,1,0,3,-1,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,1,0,3,1,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,1,0,3,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,1,0,3,2,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,1,0,3,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,1,1,-1,-1,-1,1.0,0.96,0.42,0.46,0.9999999998641769,0.9974616620127433,0.3330345484838895,0.42438210512685615
33,1,1,0,-1,-1,1.0,1.0,1.0,0.82,1.0,0.9999996945192938,0.9999961695960655,0.977880789900502
34,1,1,0,2,-1,1.0,1.0,1.0,0.89,1.0,0.9999999461979471,0.9999999010282437,0.9908268329383425
35,1,1,0,2,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,1,1,0,3,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,1,1,0,3,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,1,1,2,-1,-1,1.0,1.0,0.7,0.59,0.999999999999999,0.9997928528148998,0.8856654957494077,0.7046777580813354
39,1,1,2,0,-1,1.0,1.0,1.0,0.9,1.0,0.999999965872415,0.999999963366647,0.9928501799894353
40,1,1,2,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
41,1,1,2,3,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,1,1,2,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43,1,1,3,-1,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,1,1,3,0,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45,1,1,3,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,1,1,3,2,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
47,1,1,3,2,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48,1,2,-1,-1,-1,1.0,0.76,0.0,0.27,0.9998338054288097,0.9436369498877999,0.0007967025629142256,0.0801907810513637
49,1,2,0,-1,-1,1.0,1.0,0.66,0.57,0.999999999999996,0.9997195645220865,0.8466308101094816,0.6761228188194456
50,1,2,0,1,-1,1.0,1.0,1.0,0.88,1.0,0.9999999461979471,0.9999999010282437,0.9908268329383425
51,1,2,0,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
52,1,2,0,3,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,1,2,0,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
54,1,2,1,-1,-1,1.0,1.0,0.72,0.6,0.9999999999999998,0.9998479289083271,0.917050047008931,0.7320237243753609
55,1,2,1,0,-1,1.0,1.0,1.0,0.86,1.0,0.9999998698423115,0.9999993437526598,0.9854662275633108
56,1,2,1,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57,1,2,1,3,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
58,1,2,1,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
