index,n_stages,concept,s1,s2,s3,s4,s5,s6,w1,w2,w3,w4,w5,w6,E1,E2,E3,E4,E5,E6,R1,R2,R3,R4,R5,R6,Total_excess
9225,1,2,0,-1,-1,-1,-1,-1,5.52124,5.52124,5.52124,5.52124,5.52124,5.52124,0.96981,0.899682,0.931105,0.967016,0.972589,0.967016,0.28407480778,0.8943,1.0,0.9881,1.0,0.9881,5.7072171226
9226,6,1,2,3,4,1,-1,-1,4.32456,14.8134,19.7265,23.231,23.231,23.231,0.368302,0.309031,0.982786,0.954105,0.973318,0.989434,0.011,0.9968,1.0,1.0,1.0,0.999998769735,4.5769748134
9227,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.955505,0.99555,0.978542,0.944186,0.8775,0.918351,1.0,1.0,1.0,1.0,1.0,1.0,5.6696350381
9228,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.987636,0.997804,0.944186,0.993382,0.991934,0.993382,1.0,1.0,1.0,1.0,1.0,1.0,5.9083242911
9229,6,1,3,-1,-1,0,-1,2,11.2751,11.2751,11.2751,16.2848,16.2848,18.7111,0.800289,0.796487,0.790716,0.569581,0.547124,0.125907,1.0,0.99925989222,0.4851,1.0,0.631,0.981297989303,3.630104016
9230,5,1,2,-1,1,0,-1,-1,4.32456,4.32456,9.33853,14.285,14.285,14.285,0.355686,0.357988,0.517152,0.974925,0.921986,0.976989,0.99999134237,0.2812,0.6351592186899999,0.5021,1.0,1.0,4.104726142
9231,3,1,3,1,2,-1,-1,-1,11.2751,16.2848,18.7111,18.7111,18.7111,18.7111,0.797754,0.298288,0.86327,0.837934,0.794006,0.893782,0.46040000000000003,0.9998385883099999,0.633,0.8165,0.8374999999999999,1.0,4.4850336173
9232,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.982786,0.991211,0.859375,0.997804,0.986277,0.992881,1.0,1.0,1.0,1.0,1.0,1.0,5.810333353
9233,5,1,1,0,4,3,-1,-1,6.12595,11.4656,15.6597,24.7024,24.7024,24.7024,0.397904,0.992245,0.991934,0.978789,0.98482,0.970236,1.0,0.89042334077,1.0,1.0,0.3097476125275,1.0,5.3159285151
9234,6,1,3,-1,-1,1,-1,4,11.2751,11.2751,11.2751,16.2848,16.2848,20.8722,0.802934,0.768314,0.79675,0.317516,0.310704,0.801877,0.1214,1.0,0.4777,0.9901186046699999,1.0,0.9965470026050001,3.7980950238
9235,5,1,4,-1,3,1,2,-1,5.69944,5.69944,16.9745,20.8722,23.231,23.231,0.666664,0.645994,0.599426,0.730051,0.855381,0.94217,0.057004297821,0.7832,0.7186,1.0,0.9373,0.993964555986,4.439686661
9236,1,2,0,-1,-1,-1,-1,-1,5.52124,5.52124,5.52124,5.52124,5.52124,5.52124,0.96466,0.864948,0.962036,0.948743,0.949756,0.962272,0.4117,0.8992,1.0,0.9831024385,0.6073,1.0,5.6524150962
9237,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.378531,0.988721,0.978186,0.949085,0.992245,0.979777,0.9306,0.8117,1.0,0.9982,0.89042334077,1.0,5.2665455013
9238,6,1,4,3,2,-1,1,0,5.69944,16.9745,19.7265,19.7265,23.231,26.7355,0.654214,0.627132,0.940165,0.909214,0.992881,0.986277,0.88067096253,0.129,0.98737045772,1.0,1.0,1.0,5.1098833935
9239,4,2,0,2,-1,-1,-1,-1,5.52124,11.2406,11.2406,11.2406,11.2406,11.2406,0.96466,0.729824,0.731491,0.729134,0.669877,0.693705,0.4117,0.99368188144,0.99940630343,1.0,0.8336999999999999,1.0,4.5186902618
9240,2,1,4,1,-1,-1,-1,-1,5.69944,10.7133,10.7133,10.7133,10.7133,10.7133,0.654334,0.883431,0.861518,0.890811,0.890234,0.898416,1.0,0.35419999999999996,1.0,1.0,1.0,0.953121034392,5.0787433705
9241,5,1,0,4,1,2,-1,-1,6.12595,10.7133,15.6597,18.4791,18.4791,18.4791,0.12313,0.210737,0.95171,0.856518,0.865819,0.867377,0.44958699941,0.9999819665199999,0.9999,1.0,0.8730096319,1.0,3.8752904363
9242,2,2,3,0,-1,-1,-1,-1,5.75369,11.2749,11.2749,11.2749,11.2749,11.2749,0.997804,0.968947,0.987684,0.99115,0.913168,0.974342,1.0,1.0,0.9069435453499999,1.0,1.0,1.0,5.8330962441
9243,5,1,0,1,-1,3,-1,-1,6.12595,11.4656,11.4656,20.5083,20.5083,20.5083,0.115994,0.860288,0.862711,0.911139,0.919768,0.923604,0.99537169284,0.7751,1.0,0.3333,0.9869390372,1.0,4.5935042051
9244,2,2,3,1,-1,-1,-1,-1,5.75369,11.396,11.396,11.396,11.396,11.396,0.985572,0.829007,0.793805,0.826371,0.794128,0.759918,1.0,0.52416862387,1.0,0.514,0.986,0.9630000000000001,4.9888011645
9245,6,1,1,-1,-1,0,-1,4,6.12595,6.12595,6.12595,11.4656,11.4656,15.6597,0.341548,0.350998,0.350998,0.983333,0.992245,0.985572,0.9953,0.3385,0.33849999999999997,0.8502000000000001,0.89042334077,1.0,4.0046950743
9246,6,1,0,-1,-1,1,4,2,6.12595,6.12595,6.12595,11.4656,15.6597,18.4791,0.105815,0.109979,0.107856,0.866462,0.973847,0.829389,0.4514,0.9925999999999999,0.44845452165,0.89727615637,1.0,1.0,2.9933482375
9247,2,1,4,1,-1,-1,-1,-1,5.69944,10.7133,10.7133,10.7133,10.7133,10.7133,0.620137,0.895567,0.871147,0.89536,0.861518,0.861518,0.83148551422,0.1695,1.0,0.9127010043299999,1.0,1.0,5.0052462016
9248,4,1,2,-1,4,0,-1,-1,4.32456,4.32456,9.23771,13.8584,13.8584,13.8584,0.370401,0.317555,0.660945,0.616282,0.619152,0.62164,0.073305667531,0.9898,0.9513143235799999,1.0,0.7905,0.944273532194,3.2059758449
9249,2,2,3,0,-1,-1,-1,-1,5.75369,11.2749,11.2749,11.2749,11.2749,11.2749,0.974818,0.950428,0.992512,0.991189,0.987881,0.989382,1.0,1.0,0.9509661029400001,1.0,1.0,1.0,5.886209184
9250,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.370082,0.983333,0.983333,0.950905,0.968647,0.949085,0.96965882964,0.8502,0.8502000000000001,1.0,1.0,0.9982,5.2053858573
9251,5,1,0,2,1,-1,4,-1,6.12595,9.33853,14.285,14.285,18.4791,18.4791,0.109979,0.247636,0.873486,0.878636,0.975214,0.966142,0.9926,1.0,0.355,1.0,0.5684508563399999,1.0,4.0510943407
9252,5,1,2,3,0,-1,4,-1,4.32456,14.8134,18.7111,18.7111,23.231,23.231,0.32997,0.324734,0.0966619,0.104687,0.902669,0.7788,0.8637,0.99999937015,0.9200475719500001,0.9917083924900001,0.49978935643,1.0,2.5375211254
9253,6,1,2,3,4,-1,0,1,4.32456,14.8134,19.7265,19.7265,23.231,26.7355,0.328056,0.322072,0.987636,0.987636,0.736323,0.910752,0.326,1.0,1.0,1.0,0.9945750454,0.9559,4.2724760534
9254,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.328629,0.988182,0.992031,0.992189,0.874652,0.969519,0.8386,1.0,0.8694738978500001,1.0,0.9857,0.9999426524130001,5.1452021874
9255,1,2,0,-1,-1,-1,-1,-1,5.52124,5.52124,5.52124,5.52124,5.52124,5.52124,0.973135,0.864948,0.8498,0.893651,0.948743,0.963534,0.276,0.8992,1.0,1.0,0.9831024385,1.0,5.4938113335
9256,1,2,0,-1,-1,-1,-1,-1,5.52124,5.52124,5.52124,5.52124,5.52124,5.52124,0.939434,0.973135,0.964211,0.972589,0.96679,0.948018,0.6838,0.276,1.0,1.0,0.99880105058,1.0,5.7641770002
9257,5,1,2,3,4,1,-1,-1,4.32456,14.8134,19.7265,23.231,23.231,23.231,0.355686,0.263735,0.982786,0.973118,0.995689,0.958394,0.99999134237,0.6291,1.0,1.0,1.0,0.998,4.5294074197
9258,5,1,2,-1,3,4,1,-1,4.32456,4.32456,14.8134,19.7265,23.231,23.231,0.357988,0.360745,0.324415,0.985572,0.995689,0.991281,0.2812,0.2295279275,0.8077188798999999,1.0,1.0,1.0,4.0156903747
9259,2,2,3,1,-1,-1,-1,-1,5.75369,11.396,11.396,11.396,11.396,11.396,0.982786,0.834117,0.710484,0.839169,0.827411,0.824677,1.0,0.5214,0.9338,0.56487272201,1.0,0.9999479009360001,5.0186444495
9260,5,1,3,2,4,1,-1,-1,11.2751,14.8134,19.7265,23.231,23.231,23.231,0.803603,0.342674,0.958356,0.917568,0.982786,0.992881,0.44428736934,0.9984999999999999,0.7894,1.0,1.0,1.0,4.9978678041
9261,6,1,0,4,1,2,-1,3,6.12595,10.7133,15.6597,18.4791,18.4791,26.7355,0.115695,0.207305,0.985285,0.854247,0.878989,0.957608,0.4290668332,0.1429,0.9880139882100001,1.0,1.0,0.9889,3.9991291591
9262,5,1,3,-1,1,-1,4,-1,11.2751,11.2751,16.2848,16.2848,20.8722,20.8722,0.810859,0.795271,0.310704,0.271703,0.823645,0.817047,0.45943947892000003,0.1976,1.0,0.9927999999999999,0.47319999999999995,1.0,3.8292296325
9263,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.991934,0.973847,0.993382,0.955505,0.993382,0.987636,1.0,1.0,1.0,1.0,1.0,1.0,5.8956864926
9264,6,1,1,-1,0,-1,3,2,6.12595,6.12595,11.4656,11.4656,20.5083,22.5415,0.392277,0.390434,0.971974,0.988721,0.948689,0.987851,0.2341,1.0,0.8766,0.8117000000000001,1.0,0.999769613304,4.6799465012
9265,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.982786,0.986277,0.974818,0.8775,0.974818,0.8775,1.0,1.0,1.0,1.0,1.0,1.0,5.6736973181
9266,4,2,2,3,1,-1,-1,-1,5.71934,10.6473,15.433,15.433,15.433,15.433,0.550356,0.525508,0.977339,0.974547,0.959501,0.980289,0.9926,0.67997339663,0.62038431894,0.6512094830499999,0.9925999999999999,1.0,4.9675404337
9267,6,0,1,-1,-1,2,0,-1,5.78631,5.78631,5.78631,11.2751,18.9336,18.9336,0.400053,0.359203,0.371114,0.514526,0.0971513,0.0862826,0.3657,0.9997,1.0,0.59290961251,0.9997075583999999,0.9646,1.8283293894
9268,6,1,0,-1,-1,4,1,2,6.12595,6.12595,6.12595,10.7133,15.6597,18.4791,0.105815,0.118879,0.11555,0.218971,0.988499,0.796638,0.4514,0.4575,0.99997308027,0.88072103084,0.9919079125299999,0.9943,2.3443526726
9269,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.395225,0.988182,0.988721,0.983333,0.950905,0.981177,0.027592004157,1.0,0.8117000000000001,0.8502000000000001,1.0,0.999998305062,5.2875438413
9270,2,1,4,1,-1,-1,-1,-1,5.69944,10.7133,10.7133,10.7133,10.7133,10.7133,0.658231,0.878465,0.883431,0.895782,0.868009,0.840686,0.94771387208,0.8313137497799999,0.35419999999999996,1.0,0.80703042768,1.0,5.0246036493
9271,4,2,2,3,1,-1,-1,-1,5.71934,10.6473,15.433,15.433,15.433,15.433,0.632829,0.512259,0.974547,0.976282,0.903934,0.925186,0.01066111357268,0.9853,0.6512094830499999,1.0,0.9451,1.0,4.9250378438
9272,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.390434,0.969519,0.939586,0.988382,0.988721,0.988081,1.0,0.99994265241,1.0,1.0,0.8117000000000001,1.0,5.2647228407
9273,2,2,0,1,-1,-1,-1,-1,5.52124,10.2518,10.2518,10.2518,10.2518,10.2518,0.976081,0.851385,0.834242,0.855653,0.840972,0.847677,0.054158860232,0.1153,1.0,0.74745715303,1.0,1.0,5.2060098384
9274,5,2,2,3,0,1,-1,-1,5.71934,10.6473,16.1685,20.0425,20.0425,20.0425,0.616972,0.549592,0.810287,0.988297,0.994189,0.986411,1.0,0.6722,0.44742985837,0.84336148791,1.0,1.0,4.9457483982
9275,4,2,2,3,1,-1,-1,-1,5.71934,10.6473,15.433,15.433,15.433,15.433,0.627826,0.501886,0.977339,0.973211,0.937828,0.937828,0.08136863110999999,1.0,0.62038431894,1.0,1.0,1.0,4.9559173184
9276,6,1,1,4,-1,0,3,2,6.12595,10.7133,10.7133,15.6597,24.7024,26.7355,0.388309,0.867275,0.861583,0.895147,0.955505,0.973819,0.99591116089,0.6536,0.70355298821,1.0,1.0,0.9896,4.9416384849
9277,6,1,1,0,4,2,-1,-1,6.12595,11.4656,15.6597,18.4791,18.4791,18.4791,0.350998,0.992031,0.982786,0.795886,0.807882,0.802636,0.3385,0.86947389785,1.0,1.0,1.0,1.0,4.7322187478
9278,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.384085,0.959558,0.985711,0.971974,0.969519,0.974542,0.98479841207,0.9016,1.0,0.8766,0.9999426524099999,1.0,5.2453903805
9279,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.992881,0.992881,0.982786,0.959914,0.997289,0.991934,1.0,1.0,1.0,1.0,1.0,1.0,5.9176842789
9280,6,1,0,-1,-1,-1,-1,1,6.12595,6.12595,6.12595,6.12595,6.12595,11.4656,0.115994,0.120281,0.0794962,0.118879,0.117839,0.738592,0.99537169284,1.0,0.7884,0.4575,0.99934288396,0.9629,1.2910810131
9281,6,1,1,-1,4,2,-1,3,6.12595,6.12595,10.7133,13.8584,13.8584,23.231,0.390434,0.370082,0.878159,0.474804,0.511134,0.973847,1.0,0.9696588296399999,0.6873,0.9887999999999999,1.0,1.0,3.5984591632
9282,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.955505,0.992881,0.917568,0.991934,0.8775,0.985572,1.0,1.0,1.0,1.0,1.0,1.0,5.7209600701
9283,3,2,0,-1,2,-1,-1,-1,5.52124,5.52124,11.2406,11.2406,11.2406,11.2406,0.972969,0.9609,0.721236,0.713218,0.681486,0.742304,0.22092185735,0.5162,1.0,1.0,1.0,1.0,4.7921126828
9284,5,1,0,-1,1,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.118406,0.123395,0.815159,0.854777,0.856859,0.841818,0.0476,0.40769944348,0.6582,1.0,0.7196,1.0,3.6104132816
9285,3,2,3,2,-1,-1,-1,-1,5.75369,10.6473,10.6473,10.6473,10.6473,10.6473,0.991934,0.600925,0.621011,0.619618,0.614442,0.630449,1.0,0.99981068094,1.0,0.9492513623000001,1.0,0.977917210762,4.0783789773
9286,2,2,3,0,-1,-1,-1,-1,5.75369,11.2749,11.2749,11.2749,11.2749,11.2749,0.987636,0.874868,0.992512,0.987863,0.949894,0.950505,1.0,0.9872,0.9509661029400001,0.8760999999999999,0.998,1.0,5.7432790702
9287,6,1,2,0,-1,-1,4,3,4.32456,9.33853,9.33853,9.33853,13.8584,23.231,0.369495,0.167247,0.191004,0.114545,0.806531,0.761118,0.14609138337000002,1.0,1.0,0.6029,0.41059999999999997,0.999999857568,2.4099392526
9288,5,1,3,2,-1,4,1,-1,11.2751,14.8134,14.8134,19.7265,23.231,23.231,0.795271,0.370163,0.294005,0.984166,0.973747,0.8775,0.1976,0.24580000000000002,0.7469,0.6228,1.0,1.0,4.2948523566
9289,5,1,1,2,3,0,-1,-1,6.12595,9.33853,18.7111,22.5415,22.5415,22.5415,0.392081,0.555588,0.753591,0.945299,0.869276,0.926642,1.0,0.1165,0.6066,0.5951665070400001,0.9999,1.0,4.4424783266
9290,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.341548,0.992245,0.978186,0.989882,0.992031,0.939586,0.9953,0.89042334077,1.0,1.0,0.8694738978500001,1.0,5.2334773742
9291,5,1,2,0,-1,-1,4,-1,4.32456,9.33853,9.33853,9.33853,13.8584,13.8584,0.357988,0.154355,0.18319,0.178236,0.823468,0.783614,0.2812,0.7202,0.95343617179,0.99999949297,0.44310013362,1.0,2.4808511796
9292,6,1,1,0,2,4,-1,-1,6.12595,11.4656,14.285,18.4791,18.4791,18.4791,0.39265,0.943716,0.967287,0.806118,0.80013,0.708752,1.0,0.9259999999999999,0.336308413948,1.0,0.4283,0.8999,4.6186524251
9293,5,2,0,-1,3,1,2,-1,5.52124,5.52124,11.2749,16.0055,20.0425,20.0425,0.973135,0.919486,0.997804,0.968919,0.876902,0.876902,0.276,1.0,1.0,0.503,0.9959,0.9959,5.613148905
9294,5,1,0,-1,-1,1,-1,-1,6.12595,6.12595,6.12595,11.4656,11.4656,11.4656,0.115994,0.118879,0.117839,0.848779,0.862689,0.865189,0.99537169284,0.4575,0.99934288396,0.8029954395900001,1.0,1.0,2.9293688209
9295,6,1,3,-1,2,-1,-1,0,11.2751,11.2751,14.8134,14.8134,14.8134,18.7111,0.805004,0.802934,0.348425,0.336616,0.381503,0.0973679,1.0,0.12140000000000001,0.91775150766,0.3206,0.99503210816,0.98337064092,2.7718495111
9296,3,1,4,0,2,-1,-1,-1,5.69944,10.7133,13.8584,13.8584,13.8584,13.8584,0.669116,0.220647,0.727705,0.758199,0.760004,0.735012,0.0551,1.0,1.0,0.98728446687,0.3977,0.97499352203,3.8706841719
9297,5,2,3,2,-1,-1,1,-1,5.75369,10.6473,10.6473,10.6473,15.433,15.433,0.982786,0.615572,0.585514,0.575151,0.962218,0.993382,1.0,1.0,0.9998,0.7127,1.0,1.0,4.7146223675
9298,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.982786,0.997289,0.997804,0.985572,0.997289,0.978542,1.0,1.0,1.0,1.0,1.0,1.0,5.9392824717
9299,1,2,0,-1,-1,-1,-1,-1,5.52124,5.52124,5.52124,5.52124,5.52124,5.52124,0.9609,0.961077,0.96466,0.899682,0.939935,0.961777,0.5162,1.0,0.41169999999999995,0.8943000000000001,0.97043514863,1.0,5.6880298576
